year,month,date,store_id,product_id,demand,price,revenue,rolling_3,lag_1,lag_2,growth_rate,recommendation
1951,January,1951-01-01,1,100,145,49.834902801703805,7226.060906247052,,,,,Monitor
1954,September,1954-09-01,1,100,259,69.24737487520972,17935.070092679318,,145.0,,0.7862068965517242,Increase stock
1954,September,1954-09-01,1,100,259,66.03131296564476,17102.110058101993,221.0,259.0,145.0,0.0,Reduce inventory
1954,November,1954-11-01,1,100,203,57.812627984921065,11735.963480938975,240.33333333333334,259.0,259.0,-0.21621621621621623,Reduce inventory
1955,May,1955-05-01,1,100,270,22.418897970378104,6053.102452002088,244.0,203.0,259.0,0.3300492610837438,Increase stock
1956,July,1956-07-01,1,100,413,38.72792817045916,15994.634334399632,295.3333333333333,270.0,203.0,0.5296296296296297,Increase stock
1960,June,1960-06-01,1,100,535,13.941368431652315,7458.632110933988,406.0,413.0,270.0,0.29539951573849876,Increase stock
1954,December,1954-12-01,1,101,229,42.02354177819616,9623.391067206921,,,,,Monitor
1956,June,1956-06-01,1,101,374,48.11833469629287,17996.257176413532,,229.0,,0.6331877729257642,Increase stock
1957,June,1957-06-01,1,101,422,23.25516228825454,9813.678485643415,341.6666666666667,374.0,229.0,0.12834224598930488,Increase stock
1957,December,1957-12-01,1,101,336,15.115006951168217,5078.642335592521,377.3333333333333,422.0,374.0,-0.2037914691943128,Reduce inventory
1951,February,1951-02-01,1,102,150,60.775869107834794,9116.380366175219,,,,,Monitor
1951,February,1951-02-01,1,102,150,35.95242875974995,5392.864313962493,,150.0,,0.0,Reduce inventory
1952,May,1952-05-01,1,102,183,21.86067195879251,4000.502968459029,161.0,150.0,150.0,0.21999999999999997,Increase stock
1952,August,1952-08-01,1,102,242,56.19815662327935,13599.953902833604,191.66666666666666,183.0,150.0,0.32240437158469937,Increase stock
1955,April,1955-04-01,1,102,269,14.614401271613389,3931.2739420640014,231.33333333333334,242.0,183.0,0.11157024793388426,Increase stock
1956,March,1956-03-01,1,102,317,75.52529875343181,23941.519704837883,276.0,269.0,242.0,0.17843866171003708,Increase stock
1956,July,1956-07-01,1,102,413,82.09362363026823,33904.66655930078,333.0,317.0,269.0,0.3028391167192428,Increase stock
1957,November,1957-11-01,1,102,305,39.64636591885268,12092.141605250068,345.0,413.0,317.0,-0.261501210653753,Reduce inventory
1951,March,1951-03-01,1,103,178,28.76027211049957,5119.328435668924,,,,,Monitor
1954,April,1954-04-01,1,103,227,36.42575456605437,8268.646286494342,,178.0,,0.2752808988764044,Increase stock
1955,October,1955-10-01,1,103,274,73.70717782679506,20195.766724541845,226.33333333333334,227.0,178.0,0.2070484581497798,Increase stock
1955,November,1955-11-01,1,103,237,31.87395246696385,7554.126734670433,246.0,274.0,227.0,-0.13503649635036497,Reduce inventory
1960,November,1960-11-01,1,103,390,58.673516195134376,22882.671316102405,300.3333333333333,237.0,274.0,0.6455696202531647,Increase stock
1951,June,1951-06-01,1,104,178,52.991791426150975,9432.538873854874,,,,,Monitor
1952,November,1952-11-01,1,104,172,30.22741928775004,5199.116117493007,,178.0,,-0.0337078651685393,Reduce inventory
1953,August,1953-08-01,1,104,272,96.33046292646729,26201.885915999104,207.33333333333334,172.0,178.0,0.5813953488372092,Increase stock
1959,June,1959-06-01,1,104,472,12.609337124468087,5951.607122748937,305.3333333333333,272.0,172.0,0.7352941176470589,Increase stock
1949,March,1949-03-01,1,105,132,32.20166116988386,4250.61927442467,,,,,Monitor
1951,September,1951-09-01,1,105,184,43.28568883516133,7964.566745669685,,132.0,,0.39393939393939403,Increase stock
1953,February,1953-02-01,1,105,196,32.40911734513524,6352.1869996465075,170.66666666666666,184.0,132.0,0.0652173913043479,Increase stock
1957,March,1957-03-01,1,105,356,61.947916591826505,22053.458306690234,245.33333333333334,196.0,184.0,0.8163265306122449,Increase stock
1950,June,1950-06-01,1,106,149,33.61979480763661,5009.349426337854,,,,,Monitor
1951,June,1951-06-01,1,106,178,75.52774512439913,13443.938632143045,,149.0,,0.19463087248322153,Increase stock
1951,June,1951-06-01,1,106,178,34.72672066236521,6181.356277901007,168.33333333333334,178.0,149.0,0.0,Reduce inventory
1952,December,1952-12-01,1,106,194,80.0187643705968,15523.64028789578,183.33333333333334,178.0,178.0,0.0898876404494382,Increase stock
1953,June,1953-06-01,1,106,243,20.977979117528275,5097.648925559371,205.0,194.0,178.0,0.25257731958762886,Increase stock
1953,November,1953-11-01,1,106,180,50.5368336386639,9096.630054959502,205.66666666666666,243.0,194.0,-0.2592592592592593,Reduce inventory
1956,October,1956-10-01,1,106,306,27.165391815073697,8312.609895412552,243.0,180.0,243.0,0.7,Increase stock
1958,July,1958-07-01,1,106,491,50.433253890819756,24762.727660392502,325.6666666666667,306.0,180.0,0.6045751633986929,Increase stock
1960,March,1960-03-01,1,106,419,85.48628862206805,35818.75493264651,405.3333333333333,491.0,306.0,-0.14663951120162932,Reduce inventory
1949,June,1949-06-01,1,107,135,77.28852895288354,10433.951408639277,,,,,Monitor
1949,August,1949-08-01,1,107,148,80.307060503119,11885.444954461613,,135.0,,0.09629629629629632,Increase stock
1951,December,1951-12-01,1,107,166,74.57799418885645,12379.947035350171,149.66666666666666,148.0,135.0,0.12162162162162171,Increase stock
1954,February,1954-02-01,1,107,188,88.62933805799635,16662.315554903314,167.33333333333334,166.0,148.0,0.1325301204819278,Increase stock
1955,October,1955-10-01,1,107,274,18.04699102172318,4944.8755399521515,209.33333333333334,188.0,166.0,0.45744680851063824,Increase stock
1956,December,1956-12-01,1,107,306,10.677630670692178,3267.3549852318065,256.0,274.0,188.0,0.11678832116788329,Increase stock
1957,August,1957-08-01,1,107,467,56.376161908989225,26327.667611497967,349.0,306.0,274.0,0.5261437908496731,Increase stock
1957,December,1957-12-01,1,107,336,68.3600463709403,22968.97558063594,369.6666666666667,467.0,306.0,-0.28051391862955033,Reduce inventory
1959,May,1959-05-01,1,107,420,21.540328267736385,9046.937872449282,407.6666666666667,336.0,467.0,0.25,Increase stock
1950,December,1950-12-01,1,108,140,15.134981712632367,2118.8974397685315,,,,,Monitor
1954,June,1954-06-01,1,108,264,86.95249241493428,22955.45799754265,,140.0,,0.8857142857142857,Increase stock
